siglum,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level_12,level0_new,level1_new,level2_new,level3_new,level4_new,level5_new,level6_new,level7_new,level8_new,level9_new,level10_new,level11_new,level12_new
NL-Uu Ms. 406 (shelfmark 3 J 7),1611,53,12,2,2,0,0,0,0,0,0,0,0,27,9,2,0,0,0,0,0,0,0,0,0,0
PL-KIk Ms. 1,1611,53,12,2,2,0,0,0,0,0,0,0,0,27,9,2,0,0,0,0,0,0,0,0,0,0
PL-Klk 1,1611,53,12,2,2,0,0,0,0,0,0,0,0,27,9,2,0,0,0,0,0,0,0,0,0,0
PL-WRu Ms. R 503,1611,53,12,2,2,0,0,0,0,0,0,0,0,27,9,2,0,0,0,0,0,0,0,0,0,0
TR-Itks Deissmann 42,1611,53,12,2,2,0,0,0,0,0,0,0,0,27,9,2,0,0,0,0,0,0,0,0,0,0
A-VOR 287 (olim XXIX),1611,53,12,2,2,0,0,0,0,0,0,0,0,27,9,2,0,0,0,0,0,0,0,0,0,0
A-SF XI 480,1078,53,12,2,2,0,0,0,0,0,0,0,0,20,9,2,0,0,0,0,0,0,0,0,0,0
A-Wn Cod. 1799**,1078,53,12,2,2,0,0,0,0,0,0,0,0,20,9,2,0,0,0,0,0,0,0,0,0,0
E-Tc 44.2,1078,53,12,2,2,0,0,0,0,0,0,0,0,20,9,2,0,0,0,0,0,0,0,0,0,0
F-CA 38 (olim 40),1078,53,12,2,2,0,0,0,0,0,0,0,0,20,9,2,0,0,0,0,0,0,0,0,0,0
F-Pn Latin 12044,1078,53,12,2,2,0,0,0,0,0,0,0,0,20,9,2,0,0,0,0,0,0,0,0,0,0
F-VAL 114,1078,53,12,2,2,0,0,0,0,0,0,0,0,20,9,2,0,0,0,0,0,0,0,0,0,0
I-PCd cod. 65,1078,53,12,2,2,0,0,0,0,0,0,0,0,20,9,2,0,0,0,0,0,0,0,0,0,0
CH-Fco Ms. 2,1932,53,12,2,2,0,0,0,0,0,0,0,0,32,9,2,0,0,0,0,0,0,0,0,0,0
D-Ma 12o Cmm 1,1932,53,12,2,2,0,0,0,0,0,0,0,0,32,9,2,0,0,0,0,0,0,0,0,0,0
I-Ac 693,1932,53,12,2,2,0,0,0,0,0,0,0,0,32,9,2,0,0,0,0,0,0,0,0,0,0
I-Ac 694,1932,53,12,2,2,0,0,0,0,0,0,0,0,32,9,2,0,0,0,0,0,0,0,0,0,0
I-Ad 5,1932,53,12,2,2,0,0,0,0,0,0,0,0,32,9,2,0,0,0,0,0,0,0,0,0,0
I-Nn vi. E. 20,1932,53,12,2,2,0,0,0,0,0,0,0,0,32,9,2,0,0,0,0,0,0,0,0,0,0
US-Cn 24,1932,53,12,2,2,0,0,0,0,0,0,0,0,32,9,2,0,0,0,0,0,0,0,0,0,0
V-CVbav lat. 8737,1932,53,12,2,2,0,0,0,0,0,0,0,0,32,9,2,0,0,0,0,0,0,0,0,0,0
CZ-Pn XII A 24,1923,36,2,2,2,0,0,0,0,0,0,0,0,31,5,0,0,0,0,0,0,0,0,0,0,0
D-MZb A,1923,36,2,2,2,0,0,0,0,0,0,0,0,31,5,0,0,0,0,0,0,0,0,0,0,0
DK-Kk Gl. Kgl. S. 3449 8o [01] I,1923,36,2,2,2,0,0,0,0,0,0,0,0,31,5,0,0,0,0,0,0,0,0,0,0,0
"E-BAR, s.s.",1923,36,2,2,2,0,0,0,0,0,0,0,0,31,5,0,0,0,0,0,0,0,0,0,0,0
E-Bbc Ms. 2545,1923,36,2,2,2,0,0,0,0,0,0,0,0,31,5,0,0,0,0,0,0,0,0,0,0,0
HR-Hf Cod. C Nr. 4,1923,36,2,2,2,0,0,0,0,0,0,0,0,31,5,0,0,0,0,0,0,0,0,0,0,0
PL-GD Mar. F 408,1923,36,2,2,2,0,0,0,0,0,0,0,0,31,5,0,0,0,0,0,0,0,0,0,0,0
PL-STAb ms. 1,1923,36,2,2,2,0,0,0,0,0,0,0,0,31,5,0,0,0,0,0,0,0,0,0,0,0
V-CVbav Cappella Sistina 27,1923,36,2,2,2,0,0,0,0,0,0,0,0,31,5,0,0,0,0,0,0,0,0,0,0,0
"E-TZ, Ms. 18",1923,36,2,2,2,0,0,0,0,0,0,0,0,31,5,0,0,0,0,0,0,0,0,0,0,0
CZ-Pst DE I 7,500,53,12,2,2,0,0,0,0,0,0,0,0,10,9,2,0,0,0,0,0,0,0,0,0,0
F-Pn NAL 1411,500,53,12,2,2,0,0,0,0,0,0,0,0,10,9,2,0,0,0,0,0,0,0,0,0,0
PL-Wn  rps 12720 V,500,53,12,2,2,0,0,0,0,0,0,0,0,10,9,2,0,0,0,0,0,0,0,0,0,0
E-Bbc M 663,500,53,12,2,2,0,0,0,0,0,0,0,0,10,9,2,0,0,0,0,0,0,0,0,0,0
PL-PŁsem MsEPl 12,1380,51,2,2,2,0,0,0,0,0,0,0,0,23,8,0,0,0,0,0,0,0,0,0,0,0
SK-Bra BAIII ECLad.6,500,53,12,2,2,0,0,0,0,0,0,0,0,10,9,2,0,0,0,0,0,0,0,0,0,0
CDN-Ttfl MSS 09700,500,53,12,2,2,0,0,0,0,0,0,0,0,10,9,2,0,0,0,0,0,0,0,0,0,0
E-Bbc M 706,500,53,12,2,2,0,0,0,0,0,0,0,0,10,9,2,0,0,0,0,0,0,0,0,0,0
E-Bbc M 705,1014,36,2,2,2,0,0,0,0,0,0,0,0,18,5,0,0,0,0,0,0,0,0,0,0,0
E-H Ms. 7 (ant. 5),1014,36,2,2,2,0,0,0,0,0,0,0,0,18,5,0,0,0,0,0,0,0,0,0,0,0
E-VI Mss. 113-114,1014,36,2,2,2,0,0,0,0,0,0,0,0,18,5,0,0,0,0,0,0,0,0,0,0,0
CZ-Pu Pu XIV A 19,1014,36,2,2,2,0,0,0,0,0,0,0,0,18,5,0,0,0,0,0,0,0,0,0,0,0
DK-Kk Gl. Kgl. S. 3449 8o [04] IV,1014,36,2,2,2,0,0,0,0,0,0,0,0,18,5,0,0,0,0,0,0,0,0,0,0,0
E-SA 5,1014,36,2,2,2,0,0,0,0,0,0,0,0,18,5,0,0,0,0,0,0,0,0,0,0,0
E-Bbc M 888,1324,53,12,2,2,0,0,0,0,0,0,0,0,22,9,2,0,0,0,0,0,0,0,0,0,0
E-Bbc Ms. 619,1324,53,12,2,2,0,0,0,0,0,0,0,0,22,9,2,0,0,0,0,0,0,0,0,0,0
"E-Gs ms. 45 (olim Sant Feliu, 20)",1324,53,12,2,2,0,0,0,0,0,0,0,0,22,9,2,0,0,0,0,0,0,0,0,0,0
E-Tc 44.1,1324,53,12,2,2,0,0,0,0,0,0,0,0,22,9,2,0,0,0,0,0,0,0,0,0,0
F-AI 44,1324,53,12,2,2,0,0,0,0,0,0,0,0,22,9,2,0,0,0,0,0,0,0,0,0,0
