siglum,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level0_new,level1_new,level2_new,level3_new,level4_new,level5_new,level6_new,level7_new,level8_new,level9_new,level10_new,level11_new
PL-Kl RL 1,513,25,7,3,2,0,0,0,0,0,0,0,13,4,1,1,1,0,0,0,0,0,0,0
US-NYcub Western MS 097,513,25,7,3,2,0,0,0,0,0,0,0,13,4,1,1,1,0,0,0,0,0,0,0
"D-HEu Cod. Sal. X,007",815,25,7,3,2,0,0,0,0,0,0,0,23,4,1,1,1,0,0,0,0,0,0,0
D-KWsr Drachenfels-Missale,815,25,7,3,2,0,0,0,0,0,0,0,23,4,1,1,1,0,0,0,0,0,0,0
F-CA Ms 0060 (61),815,25,7,3,2,0,0,0,0,0,0,0,23,4,1,1,1,0,0,0,0,0,0,0
F-PR Ms 0012,815,25,7,3,2,0,0,0,0,0,0,0,23,4,1,1,1,0,0,0,0,0,0,0
F-Pa Ms 0197,815,25,7,3,2,0,0,0,0,0,0,0,23,4,1,1,1,0,0,0,0,0,0,0
F-Pn Lat. 17307,815,25,7,3,2,0,0,0,0,0,0,0,23,4,1,1,1,0,0,0,0,0,0,0
F-Pn Lat. 904,815,25,7,3,2,0,0,0,0,0,0,0,23,4,1,1,1,0,0,0,0,0,0,0
B-Br Ms II 3823,815,25,7,3,2,0,0,0,0,0,0,0,23,4,1,1,1,0,0,0,0,0,0,0
CH-E Codex 121,815,25,7,3,2,0,0,0,0,0,0,0,23,4,1,1,1,0,0,0,0,0,0,0
F-CA Ms 0061 (62),815,25,7,3,2,0,0,0,0,0,0,0,23,4,1,1,1,0,0,0,0,0,0,0
F-Pn NAL 1235,815,25,7,3,2,0,0,0,0,0,0,0,23,4,1,1,1,0,0,0,0,0,0,0
D-KNd Ms 1001b,815,25,7,3,2,0,0,0,0,0,0,0,23,4,1,1,1,0,0,0,0,0,0,0
E-Mn Mss/1361,815,25,7,3,2,0,0,0,0,0,0,0,23,4,1,1,1,0,0,0,0,0,0,0
F-LG Ms 0002 (17),815,25,7,3,2,0,0,0,0,0,0,0,23,4,1,1,1,0,0,0,0,0,0,0
E-Mh Cód. 18,815,25,7,3,2,0,0,0,0,0,0,0,23,4,1,1,1,0,0,0,0,0,0,0
E-Mh Cód. 51,815,25,7,3,2,0,0,0,0,0,0,0,23,4,1,1,1,0,0,0,0,0,0,0
V-CVbav Vat. lat. 4770,815,25,7,3,2,0,0,0,0,0,0,0,23,4,1,1,1,0,0,0,0,0,0,0
F-Pn Lat. 9439,815,25,7,3,2,0,0,0,0,0,0,0,23,4,1,1,1,0,0,0,0,0,0,0
