siglum,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level0_new,level1_new,level2_new,level3_new,level4_new,level5_new,level6_new,level7_new,level8_new,level9_new,level10_new,level11_new
A-Gu 30 (olim 38/9 f.),821,63,15,2,0,0,0,0,0,0,0,0,28,8,1,0,0,0,0,0,0,0,0,0
CZ-Pu VI E 13,821,63,15,2,0,0,0,0,0,0,0,0,28,8,1,0,0,0,0,0,0,0,0,0
CZ-Pn (Praha) XII A 21,821,63,15,2,0,0,0,0,0,0,0,0,28,8,1,0,0,0,0,0,0,0,0,0
DK-Kk Gl. Kgl. S. 3449 8o [09] IX,821,63,15,2,0,0,0,0,0,0,0,0,28,8,1,0,0,0,0,0,0,0,0,0
CZ-R R 17,821,63,15,2,0,0,0,0,0,0,0,0,28,8,1,0,0,0,0,0,0,0,0,0
CZ-Bu R 387,821,63,15,2,0,0,0,0,0,0,0,0,28,8,1,0,0,0,0,0,0,0,0,0
DK-Kk Gl. Kgl. S. 3449 8o [12] XII,821,63,15,2,0,0,0,0,0,0,0,0,28,8,1,0,0,0,0,0,0,0,0,0
CZ-Pu XII E 15b,821,63,15,2,0,0,0,0,0,0,0,0,28,8,1,0,0,0,0,0,0,0,0,0
A-LIb 290 (olim 183; olim Gamma p 19),703,55,16,2,0,0,0,0,0,0,0,0,24,6,2,0,0,0,0,0,0,0,0,0
A-Wn Cod. 1890,703,55,16,2,0,0,0,0,0,0,0,0,24,6,2,0,0,0,0,0,0,0,0,0
CZ-Pu VI G 11,703,55,16,2,0,0,0,0,0,0,0,0,24,6,2,0,0,0,0,0,0,0,0,0
CH-E 611,507,55,16,2,0,0,0,0,0,0,0,0,21,6,2,0,0,0,0,0,0,0,0,0
CH-SGs 388,507,55,16,2,0,0,0,0,0,0,0,0,21,6,2,0,0,0,0,0,0,0,0,0
D-Mbs Clm 4306,507,55,16,2,0,0,0,0,0,0,0,0,21,6,2,0,0,0,0,0,0,0,0,0
E-Tc 44.1,507,55,16,2,0,0,0,0,0,0,0,0,21,6,2,0,0,0,0,0,0,0,0,0
F-Pn Latin 1085,507,55,16,2,0,0,0,0,0,0,0,0,21,6,2,0,0,0,0,0,0,0,0,0
F-Pn Latin 1090,507,55,16,2,0,0,0,0,0,0,0,0,21,6,2,0,0,0,0,0,0,0,0,0
F-Pn Lat. 17296,507,55,16,2,0,0,0,0,0,0,0,0,21,6,2,0,0,0,0,0,0,0,0,0
F-Pn NAL 1535,507,55,16,2,0,0,0,0,0,0,0,0,21,6,2,0,0,0,0,0,0,0,0,0
I-Far s.c.,507,55,16,2,0,0,0,0,0,0,0,0,21,6,2,0,0,0,0,0,0,0,0,0
I-Fl Conv. sopp. 560,507,55,16,2,0,0,0,0,0,0,0,0,21,6,2,0,0,0,0,0,0,0,0,0
I-Lc 601,507,55,16,2,0,0,0,0,0,0,0,0,21,6,2,0,0,0,0,0,0,0,0,0
I-MZ 15/79,507,55,16,2,0,0,0,0,0,0,0,0,21,6,2,0,0,0,0,0,0,0,0,0
PL-WRu I F 401,507,55,16,2,0,0,0,0,0,0,0,0,21,6,2,0,0,0,0,0,0,0,0,0
D-BAs Msc.Lit.25 (olim Ed.IV.11),507,55,16,2,0,0,0,0,0,0,0,0,21,6,2,0,0,0,0,0,0,0,0,0
CZ-Pu XIV C 20,475,37,15,2,0,0,0,0,0,0,0,0,19,4,1,0,0,0,0,0,0,0,0,0
D-W Cod. Guelf. 28 Helmst. (Heinemann-Nr. 31),475,37,15,2,0,0,0,0,0,0,0,0,19,4,1,0,0,0,0,0,0,0,0,0
CZ-Pu XII C 3,475,37,15,2,0,0,0,0,0,0,0,0,19,4,1,0,0,0,0,0,0,0,0,0
CZ-Pu XIII C 4,475,37,15,2,0,0,0,0,0,0,0,0,19,4,1,0,0,0,0,0,0,0,0,0
D-KA Aug. LX,1253,55,16,2,0,0,0,0,0,0,0,0,39,6,2,0,0,0,0,0,0,0,0,0
D-Sl HB.I.55,1253,55,16,2,0,0,0,0,0,0,0,0,39,6,2,0,0,0,0,0,0,0,0,0
A-SF XI 480,1253,55,16,2,0,0,0,0,0,0,0,0,39,6,2,0,0,0,0,0,0,0,0,0
A-Wn Cod. 1799**,1253,55,16,2,0,0,0,0,0,0,0,0,39,6,2,0,0,0,0,0,0,0,0,0
D-AAm G 20,1253,55,16,2,0,0,0,0,0,0,0,0,39,6,2,0,0,0,0,0,0,0,0,0
D-B Mus. 40047,1253,55,16,2,0,0,0,0,0,0,0,0,39,6,2,0,0,0,0,0,0,0,0,0
D-KNd 215,1253,55,16,2,0,0,0,0,0,0,0,0,39,6,2,0,0,0,0,0,0,0,0,0
E-Tc 44.2,1253,55,16,2,0,0,0,0,0,0,0,0,39,6,2,0,0,0,0,0,0,0,0,0
