siglum,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level_12,level0_new,level1_new,level2_new,level3_new,level4_new,level5_new,level6_new,level7_new,level8_new,level9_new,level10_new,level11_new,level12_new
A-KN CCl 1018,1806,23,1,2,0,0,0,0,0,0,0,0,0,41,3,0,1,0,0,0,0,0,0,0,0,0
A-KN CCl 589,1806,23,1,2,0,0,0,0,0,0,0,0,0,41,3,0,1,0,0,0,0,0,0,0,0,0
CH-SGs 391,1806,23,1,2,0,0,0,0,0,0,0,0,0,41,3,0,1,0,0,0,0,0,0,0,0,0
CZ-R R 17,1806,23,1,2,0,0,0,0,0,0,0,0,0,41,3,0,1,0,0,0,0,0,0,0,0,0
NZ-Wt MSR-03,1806,23,1,2,0,0,0,0,0,0,0,0,0,41,3,0,1,0,0,0,0,0,0,0,0,0
A-Wda C-10,678,23,1,2,0,0,0,0,0,0,0,0,0,18,3,0,1,0,0,0,0,0,0,0,0,0
NL-ZUa 6,678,23,1,2,0,0,0,0,0,0,0,0,0,18,3,0,1,0,0,0,0,0,0,0,0,0
US-Cai 1911.142b,678,23,1,2,0,0,0,0,0,0,0,0,0,18,3,0,1,0,0,0,0,0,0,0,0,0
CZ-Pu XII D 9,1857,67,16,2,0,0,0,0,0,0,0,0,0,44,7,3,1,0,0,0,0,0,0,0,0,0
E-E L. III. 4.,1857,67,16,2,0,0,0,0,0,0,0,0,0,44,7,3,1,0,0,0,0,0,0,0,0,0
E-LUc s.s.,1857,67,16,2,0,0,0,0,0,0,0,0,0,44,7,3,1,0,0,0,0,0,0,0,0,0
DK-Kk Gl. Kgl. S. 3449 8o [12] XII,1857,67,16,2,0,0,0,0,0,0,0,0,0,44,7,3,1,0,0,0,0,0,0,0,0,0
F-SO Ms 0334,1857,67,16,2,0,0,0,0,0,0,0,0,0,44,7,3,1,0,0,0,0,0,0,0,0,0
E-Bbc M 785,1857,67,16,2,0,0,0,0,0,0,0,0,0,44,7,3,1,0,0,0,0,0,0,0,0,0
CZ-Pu XXIII D 156,1857,67,16,2,0,0,0,0,0,0,0,0,0,44,7,3,1,0,0,0,0,0,0,0,0,0
D-FUl Aa 55,1552,23,1,2,0,0,0,0,0,0,0,0,0,33,3,0,1,0,0,0,0,0,0,0,0,0
I-BV V 20,1552,23,1,2,0,0,0,0,0,0,0,0,0,33,3,0,1,0,0,0,0,0,0,0,0,0
B-Gu Hs BKT.006,1552,23,1,2,0,0,0,0,0,0,0,0,0,33,3,0,1,0,0,0,0,0,0,0,0,0
PL-Kkar Ms.3 (rkp. Perg. 15),1552,23,1,2,0,0,0,0,0,0,0,0,0,33,3,0,1,0,0,0,0,0,0,0,0,0
D-MZb C,1552,23,1,2,0,0,0,0,0,0,0,0,0,33,3,0,1,0,0,0,0,0,0,0,0,0
NL-Lu BPL 0025,1552,23,1,2,0,0,0,0,0,0,0,0,0,33,3,0,1,0,0,0,0,0,0,0,0,0
V-CVbav Urb. lat. 0602,1069,74,16,2,0,0,0,0,0,0,0,0,0,25,9,3,1,0,0,0,0,0,0,0,0,0
F-LA Ms 263,1069,74,16,2,0,0,0,0,0,0,0,0,0,25,9,3,1,0,0,0,0,0,0,0,0,0
E-Tc Ms. 33.4,1069,74,16,2,0,0,0,0,0,0,0,0,0,25,9,3,1,0,0,0,0,0,0,0,0,0
F-Pn Lat. 10510,1069,74,16,2,0,0,0,0,0,0,0,0,0,25,9,3,1,0,0,0,0,0,0,0,0,0
F-Pn Lat. 1139,1069,74,16,2,0,0,0,0,0,0,0,0,0,25,9,3,1,0,0,0,0,0,0,0,0,0
CH-SGs Cod 378,1069,74,16,2,0,0,0,0,0,0,0,0,0,25,9,3,1,0,0,0,0,0,0,0,0,0
CH-SGs Cod 382,1069,74,16,2,0,0,0,0,0,0,0,0,0,25,9,3,1,0,0,0,0,0,0,0,0,0
E-Tc Ms. 39.12,1069,74,16,2,0,0,0,0,0,0,0,0,0,25,9,3,1,0,0,0,0,0,0,0,0,0
F-Pa Ms 1169,1069,74,16,2,0,0,0,0,0,0,0,0,0,25,9,3,1,0,0,0,0,0,0,0,0,0
F-Pn Lat. 9448,1069,74,16,2,0,0,0,0,0,0,0,0,0,25,9,3,1,0,0,0,0,0,0,0,0,0
F-Pn Lat. 1118,1069,74,16,2,0,0,0,0,0,0,0,0,0,25,9,3,1,0,0,0,0,0,0,0,0,0
GB-Ob Selden Supra 0027,1069,74,16,2,0,0,0,0,0,0,0,0,0,25,9,3,1,0,0,0,0,0,0,0,0,0
CH-SGs Cod 380,1069,74,16,2,0,0,0,0,0,0,0,0,0,25,9,3,1,0,0,0,0,0,0,0,0,0
CH-SGs Cod 484,1069,74,16,2,0,0,0,0,0,0,0,0,0,25,9,3,1,0,0,0,0,0,0,0,0,0
F-Pn NAL 495,1069,74,16,2,0,0,0,0,0,0,0,0,0,25,9,3,1,0,0,0,0,0,0,0,0,0
E-Tc 33.3,1069,74,16,2,0,0,0,0,0,0,0,0,0,25,9,3,1,0,0,0,0,0,0,0,0,0
CH-E Cod 0366,1069,74,16,2,0,0,0,0,0,0,0,0,0,25,9,3,1,0,0,0,0,0,0,0,0,0
CZ-Pu VI G 3a,2570,50,16,2,0,0,0,0,0,0,0,0,0,53,5,3,1,0,0,0,0,0,0,0,0,0
CZ-Pn (Praha) XII A 21,2570,50,16,2,0,0,0,0,0,0,0,0,0,53,5,3,1,0,0,0,0,0,0,0,0,0
NL-DHk 70 E 4,2570,50,16,2,0,0,0,0,0,0,0,0,0,53,5,3,1,0,0,0,0,0,0,0,0,0
CZ-Pu (Praha) XII A 9,2570,50,16,2,0,0,0,0,0,0,0,0,0,53,5,3,1,0,0,0,0,0,0,0,0,0
DK-Kk Gl. Kgl. S. 3449 8o [13] XIII,2570,50,16,2,0,0,0,0,0,0,0,0,0,53,5,3,1,0,0,0,0,0,0,0,0,0
E-LEc ms. 35 (olim ms. 18),2570,50,16,2,0,0,0,0,0,0,0,0,0,53,5,3,1,0,0,0,0,0,0,0,0,0
CZ-Pu VII H 1,2570,50,16,2,0,0,0,0,0,0,0,0,0,53,5,3,1,0,0,0,0,0,0,0,0,0
CZ-Pu XII E 15c,2570,50,16,2,0,0,0,0,0,0,0,0,0,53,5,3,1,0,0,0,0,0,0,0,0,0
DK-Kk Gl. Kgl. S. 3449 8o [10] X,2570,50,16,2,0,0,0,0,0,0,0,0,0,53,5,3,1,0,0,0,0,0,0,0,0,0
CZ-Pu XIV G 46,2570,50,16,2,0,0,0,0,0,0,0,0,0,53,5,3,1,0,0,0,0,0,0,0,0,0
CZ-Pu XII E 15b,2570,50,16,2,0,0,0,0,0,0,0,0,0,53,5,3,1,0,0,0,0,0,0,0,0,0
