siglum,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level0_new,level1_new,level2_new,level3_new,level4_new,level5_new,level6_new,level7_new,level8_new,level9_new,level10_new,level11_new
E-H Ms. 2,479,19,1,0,1,2,0,0,0,0,0,0,7,4,1,0,1,0,0,0,0,0,0,0
F-TOm 149,479,19,1,0,1,2,0,0,0,0,0,0,7,4,1,0,1,0,0,0,0,0,0,0
SK-BRsa SNA 2,479,19,1,0,1,2,0,0,0,0,0,0,7,4,1,0,1,0,0,0,0,0,0,0
A-KN CCl 1013,479,19,1,0,1,2,0,0,0,0,0,0,7,4,1,0,1,0,0,0,0,0,0,0
CZ-Pu Pu XIV A 19,479,19,1,0,1,2,0,0,0,0,0,0,7,4,1,0,1,0,0,0,0,0,0,0
D-B Theol. Lat. Qu. 149,479,19,1,0,1,2,0,0,0,0,0,0,7,4,1,0,1,0,0,0,0,0,0,0
D-W Cod. Guelf. 29 Helmst. (Heinemann-Nr. 32),479,19,1,0,1,2,0,0,0,0,0,0,7,4,1,0,1,0,0,0,0,0,0,0
E-SA 6,479,19,1,0,1,2,0,0,0,0,0,0,7,4,1,0,1,0,0,0,0,0,0,0
F-AI 44,479,19,1,0,1,2,0,0,0,0,0,0,7,4,1,0,1,0,0,0,0,0,0,0
F-Pn Latin 15181,479,19,1,0,1,2,0,0,0,0,0,0,7,4,1,0,1,0,0,0,0,0,0,0
F-Pn NAL 1236,479,19,1,0,1,2,0,0,0,0,0,0,7,4,1,0,1,0,0,0,0,0,0,0
PL-PŁsem MsEPl 12,1058,19,1,0,1,2,0,0,0,0,0,0,19,4,1,0,1,0,0,0,0,0,0,0
PL-Wn  rps 12720 V,479,19,1,0,1,2,0,0,0,0,0,0,7,4,1,0,1,0,0,0,0,0,0,0
SI-Lna 18 (olim 17),479,19,1,0,1,2,0,0,0,0,0,0,7,4,1,0,1,0,0,0,0,0,0,0
SK-BRsa SNA 4,479,19,1,0,1,2,0,0,0,0,0,0,7,4,1,0,1,0,0,0,0,0,0,0
