siglum,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level_12,level0_new,level1_new,level2_new,level3_new,level4_new,level5_new,level6_new,level7_new,level8_new,level9_new,level10_new,level11_new,level12_new
F-Pn NAL 1535,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
F-VAL 114,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
GB-Lbl Add MS 30848,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
GB-Lbl Add MS 30850,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
GB-Ob MS. Canon. Liturg. 202,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
GB-Ob MS. Laud Misc. 284,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
I-Ac 693,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
I-Ac 694,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
I-Ad 5,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
I-Far s.c.,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
I-Fl Conv. sopp. 560,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
I-Lc 601,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
I-MZ 15/79,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
I-Nn vi. E. 20,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
I-PCd cod. 65,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
I-Rv C.5,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
NL-Uu Ms. 406 (shelfmark 3 J 7),1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
PL-KIk Ms. 1,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
PL-Klk 1,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
PL-WRu I F 401,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
PL-WRu Ms. R 503,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
PL-Wn  rps 12720 V,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
TR-Itks Deissmann 42,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
US-Cn 24,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
A-VOR 287 (olim XXIX),1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
D-BAs Msc.Lit.25 (olim Ed.IV.11),1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
E-Bbc M 663,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
E-SA 6,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
PL-PŁsem MsEPl 12,180,12,6,0,3,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0
SK-Bra BAIII ECLad.6,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
V-CVbav lat. 8737,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
GB-Lbl Add MS 30849,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
F-LA Ms 263,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
"GB-Lbl printed book IB.6753 (Augsburg Antiphoner 1495, olim AA Impr. 1495)",1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
SK-BRsa SNA 17,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
I-AO 6,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
CDN-Mrb MS Medieval 0234,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
E-Bbc M 706,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
F-Pn Lat. 1118,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
E-Bbc M 662,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
F-Pn Lat. 17436,1008,6,6,0,3,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0
F-Collection privée Mont-Renaud,1008,6,6,0,3,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0
GB-Lbl Egerton 857,1008,6,6,0,3,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0
V-CVbav Vat. lat. 5319,1008,6,6,0,3,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0
D-Mbs Clm 02541,1008,6,6,0,3,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0
F-LA Ms 240,1008,6,6,0,3,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0
CH-SGs Cod 338,1008,6,6,0,3,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0
CZ-Pn XIV D 12,1008,6,6,0,3,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0
D-KWsr Drachenfels-Missale,1008,6,6,0,3,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0
E-Mh Cód. 45,1008,6,6,0,3,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0
F-AUT Ms S 0012 (11),1008,6,6,0,3,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0
F-CA Ms 0060 (61),1008,6,6,0,3,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0
F-PR Ms 0012,1008,6,6,0,3,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0
F-Pn Lat. 17307,1008,6,6,0,3,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0
F-Pn Lat. 909,1008,6,6,0,3,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0
NL-Uu Hs. 0062,1008,6,6,0,3,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0
V-CVbav Ross.0076,1008,6,6,0,3,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0
B-Br Ms II 3823,1008,6,6,0,3,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0
CH-E Codex 121,1008,6,6,0,3,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0
F-AI Ms 0044,1008,6,6,0,3,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0
F-CA Ms 0061 (62),1008,6,6,0,3,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0
F-CA Ms 0078 (79),1008,6,6,0,3,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0
F-CHRm Ms 0047 (40),1008,6,6,0,3,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0
F-Pn Lat. 1121,1008,6,6,0,3,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0
F-Pn Lat. 1136,1008,6,6,0,3,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0
F-Pn Lat. 12050,1008,6,6,0,3,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0
F-Pn NAL 1235,1008,6,6,0,3,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0
GB-Lbl Harley 4951,1008,6,6,0,3,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0
I-BV 34,1008,6,6,0,3,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0
F-Pn Lat. 12584,1008,6,6,0,3,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0
D-KNd Ms 1001b,1008,6,6,0,3,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0
E-Bbc M 889,1008,6,6,0,3,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0
E-Bbc Ms. 1805,1008,6,6,0,3,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0
E-Bbc Ms. 3180,1008,6,6,0,3,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0
F-LG Ms 0002 (17),1008,6,6,0,3,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0
I-BGc MA 150 (Psi III.8),1008,6,6,0,3,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0
I-Bc Q 09,1008,6,6,0,3,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0
F-Pn Lat. 1087,1008,6,6,0,3,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0
I-Tn G.V.20,1008,6,6,0,3,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0
E-Mh Cód. 18,1008,6,6,0,3,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0
